P_Well  Chemical_Name	Therapeutic_Class	Therapeutic_Effect
P1_K15	Benoxinate hydrochloride	Neuromuscular	Local anesthetic
P1_K17	Oxethazaine	Neuromuscular	Local anesthetic
P1_K19	Pheniramine maleate	Allergology	Antihistaminic
P1_K21	Tolazoline hydrochloride	Cardiovascular	Vasodilator
P1_K23	Ranolazine	Cardiovascular	Antianginal
P1_M1	Perindopril	Cardiovascular	Antihypertensive
P1_M3	Morantel tartrate	Infectiology	Antihelmintic
P1_M5	Homatropine hydrobromide (R,S)	Diagnostic	Antispastic
P1_M7	Nifedipine	Cardiovascular	Antianginal
P1_M9	Chlorpromazine hydrochloride	Cardiovascular	Antiemetic
P1_M11	Diphenhydramine hydrochloride	Allergology	Antiemetic
P1_M13	Minaprine dihydrochloride	Central Nervous System	Anti-Alzheimer
P1_M15	Miconazole	Infectiology	Antifungal
P1_M17	Isoxsuprine hydrochloride	Cardiovascular	Vasodilator
P1_M19	Acebutolol hydrochloride	Cardiovascular	Antianginal
P1_M21	Tolnaftate	Infectiology	Antifungal
P1_M23	Fexofenadine HCl	Allergology	Antihistaminic
P1_O1	Mecamylamine hydrochloride	Cardiovascular	Antihypertensive
P1_O3	Todralazine hydrochloride	Cardiovascular	Antihypertensive
P1_O5	Imipramine hydrochloride	Central Nervous System	Antidepressant
P1_O7	Sulindac	Central Nervous System	Analgesic
P1_O9	Amitryptiline hydrochloride	Central Nervous System	Antidepressant
P1_O11	Adiphenine hydrochloride	Neuromuscular	Antispastic
P1_O13	Dibucaine	Neuromuscular	Local anesthetic
P1_O15	Prednisone	Dermatology	Anti-inflammatory
P1_O17	Thioridazine hydrochloride	Central Nervous System	Antipsychotic
P1_O19	Diphemanil methylsulfate	Gastroenterology	Antispastic
P1_O21	Trimethobenzamide hydrochloride	Central Nervous System	Antiemetic
P1_O23	Procarbazine hydrochloride	Oncology	Antineoplastic
P1_A2	Penbutolol sulfate	Cardiovascular	Antianginal
P1_A4	Metronidazole	Infectiology	Antiamebic
P1_A6	Fulvestrant	Endocrinology	Antineoplastic
P1_A8	Edrophonium chloride	Diagnostic	Anti-fatigue
P1_A10	Moroxidine hydrochloride	Infectiology	Antiviral
P1_A12	Baclofen (R,S)	Central Nervous System	Antispastic
P1_A14	Acyclovir	Metabolism	Antiviral
P1_A16	Diazoxide	Cardiovascular	Antidiuretic
P1_A18	Amidopyrine	Central Nervous System	Analgesic
P1_A20	Busulfan	Oncology	Antineoplastic
P1_A22	Pindolol	Cardiovascular	Antianginal
P1_A24	Prednicarbate	Metabolism	Anti-Inflammatory
P1_C2	Pivmecillinam hydrochloride	Metabolism	Antibacterial
P1_C4	Khellin	Cardiovascular	Antispastic
P1_C6	Zimelidine dihydrochloride monohydrate	Central Nervous System	Antidepressant
P1_C8	Azacyclonol	Central Nervous System	Antipsychotic
P1_C10	Azathioprine	Oncology	Antineoplastic
P1_C12	Lynestrenol	Endocrinology	Contraceptive
P1_C14	Guanabenz acetate	Central Nervous System	Antihypertensive
P1_C16	Disulfiram	Metabolism	Antabuse effect
P1_C18	Acetylsalicylsalicylic acid	Central Nervous System	Analgesic
P1_C20	Mianserine hydrochloride	Cardiovascular	Antidepressant
P1_C22	Nocodazole	Oncology	Antineoplastic
P1_C24	Levopropoxyphene napsylate	Central Nervous System	Analgesic
P1_E2	Naftifine hydrochloride	Infectiology	Antifungal
P1_E4	R(-) Apomorphine hydrochloride hemihydrate	Central Nervous System	Antiparkinsonian
P1_E6	Amoxapine	Central Nervous System	Antidepressant
P1_E8	Cyproheptadine hydrochloride	Allergology	Antihistaminic
P1_E10	Famotidine	Gastroenterology	Antiulcer
P1_E12	Danazol	Endocrinology	Anabolic
P1_E14	Nicorandil	Cardiovascular	Antianginal
P1_E16	Pioglitazone	Endocrinology	Hyperglycemia drug
P1_E18	Nomifensine maleate	Central Nervous System	Antidepressant
P1_E20	Dizocilpine maleate	Central Nervous System	Anticonvulsant
P1_E22	Oxandrolone	Endocrinology	Anabolic steroid
P1_E24	Meprylcaine hydrochloride 	Neuromuscular	Local anesthetic
P1_G2	Bethanechol chloride	Metabolism	Cholinergic agent
P1_G4	Naloxone hydrochloride	Central Nervous System	Opioate antidote
P1_G6	Metolazone	Cardiovascular	Antihypertensive
P1_G8	Ciprofloxacin hydrochloride monohydrate	Infectiology	Antibacterial
P1_G10	Ampicillin trihydrate	Infectiology	Antibacterial
P1_G12	Haloperidol	Central Nervous System	Antiemetic
P1_G14	Naltrexone hydrochloride dihydrate	Central Nervous System	Analgesic
P1_G16	Chlorpheniramine maleate	Allergology	Antihistaminic
P1_G18	Nalbuphine hydrochloride	Central Nervous System	Analgesic
P1_G20	Picotamide monohydrate	Hematology	Anticoagulant
P1_G22	Triamcinolone	Endocrinology	Anti-inflammatory
P1_G24	Cyproterone acetate	Endocrinology	Antineoplastic
P1_I2	Isosorbide mononitrate	Cardiovascular	Antianginal
P1_I4	Bromocryptine mesylate	Central Nervous System	Antiparkinsonian
P1_I6	Amfepramone hydrochloride	Central Nervous System	Appetite suppresant
P1_I8	Dehydrocholic acid	Gastroenterology	Choleretic
P1_I10	Tioconazole	Infectiology	Antifungal
P1_I12	Perphenazine	Central Nervous System	Antiemetic
P1_I14	Mefloquine hydrochloride	Infectiology	Antimalarial
P1_I16	Isoconazole	Infectiology	Antibacterial
P1_I18	Spironolactone	Endocrinology	Diuretic
P1_I20	Pirenzepine dihydrochloride	Gastroenterology	Antiulcer
P1_I22	Dexamethasone acetate	Endocrinology	Anti-inflammatory
P1_I24	Levalbuterol hydrochloride	Respiratory	Antiasthmatic
P1_K2	Misoprostol	Metabolism	Antiulcer
P1_K4	Glipizide	Endocrinology	Antidiabetic
P1_K6	Loxapine succinate	Central Nervous System	Antipsychotic
P1_K8	Hydroxyzine dihydrochloride	Allergology	Antiemetic
P1_K10	Diltiazem hydrochloride	Cardiovascular	Antianginal
P1_K12	Methotrexate	Oncology	Antineoplastic
P1_K14	Astemizole	Allergology	Antihistaminic
P1_K16	Clindamycin hydrochloride	Infectiology	Antibacterial
P1_K18	Terfenadine	Allergology	Antihistaminic
P1_K20	Cefotaxime sodium salt	Infectiology	Antibacterial
P1_K22	Tetracycline hydrochloride	Infectiology	Antibacterial
P1_K24	Sulfadoxine	Infectiology	Antibacterial
P1_M2	4-aminosalicylic acid	Infectiology	Antibacterial
P1_M4	Verapamil hydrochloride	Cardiovascular	Antihypertensive
P1_M6	Dipyridamole	Cardiovascular	Anticoagulant
P1_M8	Chlorhexidine	Infectiology	Antibacterial
P1_M10	Loperamide hydrochloride	Gastroenterology	Antidiarrheal
P1_M12	Chlortetracycline hydrochloride	Infectiology	Antiamebic
P1_M14	Tamoxifen citrate	Endocrinology	Antineoplastic
P1_M16	Nicergoline	Cardiovascular	Anti-ischemic
P1_M18	Canrenoic acid potassium salt	Endocrinology	Antihypertensive
P1_M20	Thioproperazine dimesylate	Central Nervous System	Antiemetic
P1_M22	Dihydroergotamine tartrate	Central Nervous System	Antimigraine
P1_M24	Clonixin Lysinate	Central Nervous System	Analgesic
P1_O2	Viomycin sulfate	Infectiology	Antibacterial
P1_O4	Erythromycin	Infectiology	Antibacterial
P1_O6	Chloroxine	Dermatology	Antibacterial
P1_O8	Didanosine	Infectiology	Antiviral
P1_O10	Josamycin	Infectiology	Antibacterial
P1_O12	Paclitaxel	Oncology	Antineoplastic
P1_O14	Ivermectin	Infectiology	Antihelmintic
P1_O16	Gallamine triethiodide	Neuromuscular	Muscle relaxant
P1_O18	Neomycin sulfate	Infectiology	Antibacterial
P1_O20	Dihydrostreptomycin sulfate	Infectiology	Antibacterial
P1_O22	Gentamicine sulfate	Infectiology	Antibacterial
P1_O24	Saquinavir mesylate	Immunology	Antiviral
P1_B1	Sertaconazole nitrate	Metabolism	Antibacterial
P1_B3	Isoniazid	Infectiology	Antibacterial
P1_B5	Pentylenetetrazole	Central Nervous System	Analeptic
P1_B7	Chlorzoxazone	Central Nervous System	Anticonvulsant
P1_B9	Ornidazole	Infectiology	Antibacterial
P1_B11	Ethosuximide	Central Nervous System	Anticonvulsant
P1_B13	Mafenide hydrochloride	Infectiology	Antibacterial
P1_B15	Riluzole hydrochloride	Central Nervous System	Antispastic
P1_B17	Nitrofurantoin	Infectiology	Antibacterial
P1_B19	Hydralazine hydrochloride	Cardiovascular	Antihypertensive
P1_B21	Phenelzine sulfate	Central Nervous System	Antidepressant
P1_B23	Repaglinide	Endocrinology	Antidiabetic
P1_D1	Piperidolate hydrochloride	Neuromuscular	Antispastic
P1_D3	Tranexamic acid	Hematology	Hemostatic
P1_D5	Etofylline	Cardiovascular	Antispastic
P1_D7	Tranylcypromine hydrochloride	Central Nervous System	Antidepressant
P1_D9	Alverine citrate salt	Neuromuscular	Antispastic
P1_D11	Aceclofenac	Central Nervous System	Analgesic
P1_D13	Iproniazide phosphate	Cardiovascular	Antidepressant
P1_D15	Sulfamethoxazole	Infectiology	Antibacterial
P1_D17	Mephenesin	Central Nervous System	Anticonvulsant
P1_D19	Phenformin hydrochloride	Endocrinology	Antidiabetic
P1_D21	Flutamide	Oncology	Antineoplastic
P1_D23	Trifluridine	Metabolism	Antiviral
P1_F1	Milrinone	Cardiovascular	Vasodilator
P1_F3	Ampyrone	Central Nervous System	Analgesic
P1_F5	Levamisole hydrochloride	Immunology	Antihelmintic
P1_F7	Pargyline hydrochloride	Cardiovascular	Antidepressant
P1_F9	Methocarbamol	Central Nervous System	Analgesic
P1_F11	Aztreonam	Infectiology	Antibacterial
P1_F13	Cloxacillin sodium salt	Infectiology	Antibacterial
P1_F15	Catharanthine	Oncology	Antineoplastic
P1_F17	Pentolinium bitartrate	Cardiovascular	Antihypertensive
P1_F19	Aminopurine, 6-benzyl	Endocrinology	Synthetic cytokinin 
P1_F21	Tolbutamide	Endocrinology	Antidiabetic
P1_F23	Methantheline bromide	Neuromuscular	Antispastic
P1_H1	(R)-Propranolol hydrochloride	Cardiovascular	Antianginal
P1_H3	Midodrine hydrochloride	Cardiovascular	Antihypertensive
P1_H5	Thalidomide	Central Nervous System	Hypnotic
P1_H7	Oxolinic acid	Metabolism	Antibacterial
P1_H9	Nimesulide	Metabolism	Anti-inflammatory
P1_H11	Asenapine maleate	Central Nervous System	Antipsychotic
P1_H13	Pentoxifylline	Cardiovascular	Bronchodilator
P1_H15	Metaraminol bitartrate	Cardiovascular	Antihypotensive
P1_H17	Salbutamol	Neuromuscular	Bronchodilator
P1_H19	Prilocaine hydrochloride	Neuromuscular	Local anesthetic
P1_H21	Camptothecine (S,+)	Oncology	Antineoplastic
P1_H23	Ciprofibrate	Metabolism	Hypocholesterolemic
P1_J1	Topiramate	Central Nervous System	Anticonvulsant
P1_J3	Ranitidine hydrochloride	Gastroenterology	Antiulcer
P1_J5	Tiratricol, 3,3,5-triiodothyroacetic acid	Endocrinology	Antihypothyroid
P1_J7	Flufenamic acid	Central Nervous System	Analgesic
P1_J9	Flumequine	Infectiology	Antibacterial
P1_J11	Tolfenamic acid	Central Nervous System	Analgesic
P1_J13	Meclofenamic acid sodium salt monohydrate	Central Nervous System	Anti-inflammatory
P1_J15	Tibolone	Endocrinology	Female hormone replacement
P1_J17	Trimethoprim 	Infectiology	Antibacterial
P1_J19	Metoclopramide monohydrochloride	Central Nervous System	Antiemetic
P1_J21	Fenbendazole	Infectiology	Antihelmintic
P1_J23	D-cycloserine	Infectiology	Antibacterial
P1_L1	Cyclopentolate hydrochloride	Metabolism	Anticholenergic of the eye
P1_L3	Piroxicam	Central Nervous System	Analgesic
P1_L5	Pyrantel tartrate	Infectiology	Antihelmintic
P1_L7	Fenspiride hydrochloride	Respiratory	Antitussive
P1_L9	Gemfibrozil	Metabolism	Hypocholesterolemic
P1_L11	Mefexamide hydrochloride	Central Nervous System	CNS Stimulant
P1_L13	Tiapride hydrochloride	Central Nervous System	Antiemetic
P1_L15	Mebendazole	Infectiology	Antihelmintic
P1_L17	Fenbufen	Central Nervous System	Analgesic
P1_L19	Ketoprofen	Central Nervous System	Analgesic
P1_L21	Indapamide	Metabolism	Antihypertensive
P1_L23	Estriol	Endocrinology	Estrogen
P1_N1	Verteporfin	Ophthalmology	Ocular antineovascular agent
P1_N3	Norfloxacin	Infectiology	Antibacterial
P1_N5	Antimycin A	Infectiology	Antibacterial
P1_N7	Xylometazoline hydrochloride	Cardiovascular	Nasal Decongestant
P1_N9	Oxymetazoline hydrochloride	Respiratory	Nasal Decongestant
P1_N11	Nifenazone	Central Nervous System	Analgesic
P1_N13	Griseofulvin	Infectiology	Antifungal
P1_N15	Clemizole hydrochloride	Allergology	Antibacterial
P1_N17	Tropicamide	Neuromuscular	Mydriatic
P1_N19	Nefopam hydrochloride	Central Nervous System	Analgesic
P1_N21	Phentolamine hydrochloride	Cardiovascular	Antihypertensive
P1_N23	Meropenem	Infectiology	Antibacterial
P1_P1	Ronidazole	Infectiology	Antibacterial
P1_P3	Etodolac	Central Nervous System	Analgesic
P1_P5	Scopolamin-N-oxide hydrobromide	Neuromuscular	Antispastic
P1_P7	Hyoscyamine (L) 	Central Nervous System	Antiemetic
P1_P9	Chlorphensin carbamate	Central Nervous System	Muscle relaxant
P1_P11	Fadrozole hydrochloride	Oncology	Antineoplastic
P1_P13	Dilazep dihydrochloride	Cardiovascular	Antiplatelet
P1_P15	Ofloxacin	Infectiology	Antibacterial
P1_P17	Lomefloxacin hydrochloride	Infectiology	Antibacterial
P1_P19	Orphenadrine hydrochloride	Allergology	Antihistaminic
P1_P21	Proglumide	Gastroenterology	Antiulcer
P1_P23	Dorzolamide hydrochloride	Cardiovascular	Antiglaucoma
P1_B2	Piretanide	Cardiovascular	Antihypertensive
P1_B4	Mexiletine hydrochloride	Cardiovascular	Antiarrhythmic
P1_B6	Flavoxate hydrochloride	Metabolism	Antispastic
P1_B8	Bufexamac	Central Nervous System	Analgesic
P1_B10	Glutethimide, para-amino	Oncology	Antineoplastic
P1_B12	Dropropizine (R,S)	Respiratory	Antitussive
P1_B14	Pinacidil	Cardiovascular	Antihypertensive
P1_B16	Albendazole	Metabolism	Antihelmintic
P1_B18	Clonidine hydrochloride	Cardiovascular	Analgesic
P1_B20	Bupropion hydrochloride	Central Nervous System	Antidepressant
P1_B22	Alprenolol hydrochloride	Cardiovascular	Antianginal
P1_B24	Piperacetazine	Central Nervous System	Antipsychotic
P1_D2	Oxprenolol hydrochloride	Cardiovascular	Antianginal
P1_D4	Chlorothiazide	Metabolism	Antihypertensive
P1_D6	Diphenidol hydrochloride	Central Nervous System	Antiemetic
P1_D8	Norethindrone	Endocrinology	Contraceptive
P1_D10	Nortriptyline hydrochloride	Central Nervous System	Antidepressant
P1_D12	Niflumic acid	Central Nervous System	Analgesic
P1_D14	Isotretinoin	Dermatology	Keratolytic
P1_D16	Retinoic acid 	Dermatology	Keratolytic
P1_D18	Antazoline hydrochloride	Allergology	Antihistaminic
P1_D20	Ethacrynic acid	Metabolism	Diuretic
P1_D22	Praziquantel	Infectiology	Antihelmintic
P1_D24	Ondansetron Hydrochloride	Central Nervous System	Antianemic
P1_F2	Ticarcillin sodium	Infectiology	Antibacterial
P1_F4	Ethisterone	Endocrinology	Contraceptive
P1_F6	Triprolidine hydrochloride	Allergology	Antihistaminic
P1_F8	Doxepin hydrochloride	Allergology	Anticonvulsant
P1_F10	Dyclonine hydrochloride	Neuromuscular	Local anesthetic
P1_F12	Dimenhydrinate	Allergology	Antiemetic
P1_F14	Disopyramide	Cardiovascular	Antiarrhythmic
P1_F16	Clotrimazole	Infectiology	Antibacterial
P1_F18	Vinpocetine	Cardiovascular	CNS Stimulant
P1_F20	Clomipramine hydrochloride	Central Nervous System	Antidepressant
P1_F22	Fendiline hydrochloride	Cardiovascular	Antianginal
P1_F24	Thiethylperazine dimalate 	Central Nervous System	Antiemetic
P1_H2	Formestane	Endocrinology	Antineoplastic
P1_H4	Vincamine	Central Nervous System	CNS Stimulant
P1_H6	Indomethacin	Central Nervous System	Analgesic
P1_H8	Cortisone	Endocrinology	Anti-inflammatory
P1_H10	Prednisolone	Endocrinology	Anti-inflammatory
P1_H12	Fenofibrate	Metabolism	Hypocholesterolemic
P1_H14	Bumetanide	Metabolism	Diuretic
P1_H16	Labetalol hydrochloride	Cardiovascular	Antihypotensive
P1_H18	Cinnarizine	Allergology	Antihistaminic
P1_H20	Methylprednisolone, 6-alpha	Endocrinology	Anti-inflammatory
P1_H22	Quinidine hydrochloride monohydrate	Cardiovascular	Antiarrhythmic
P1_H24	Benzylpenicillin sodium	Infectiology	Antibacterial
P1_J2	2-Chloropyrazine	Cardiovascular	Antiarrythmetic 
P1_J4	Fludrocortisone acetate	Dermatology	Anti-inflammatory
P1_J6	Fenoterol hydrobromide	Neuromuscular	Bronchodilator
P1_J8	Homochlorcyclizine dihydrochloride	Allergology	Antihistaminic
P1_J10	Diethylcarbamazine citrate	Infectiology	Antihelmintic
P1_J12	Chenodiol	Gastroenterology	Cholagogue
P1_J14	Perhexiline maleate	Cardiovascular	Antianginal
P1_J16	Oxybutynin chloride	Neuromuscular	Antispastic
P1_J18	Spiperone	Central Nervous System	Antipsychotic
P1_J20	Pyrilamine maleate	Allergology	Antihistaminic
P1_J22	Sulfinpyrazone	Hematology	Antiplatelet
P1_J24	(+,-)-Synephrine	Cardiovascular	Vasoconstrictor
P1_L2	(-)-Isoproterenol hydrochloride	Cardiovascular	Bronchodilator
P1_L4	Dantrolene sodium salt 	Neuromuscular	Muscle relaxant
P1_L6	Trazodone hydrochloride	Central Nervous System	Antidepressant
P1_L8	Glafenine hydrochloride	Metabolism	Analgesic
P1_L10	Pimethixene maleate	Allergology	Antihistaminic
P1_L12	Pergolide mesylate	Central Nervous System	Antiparkinsonian
P1_L14	Acemetacin	Metabolism	Anti-inflammatory
P1_L16	Benzydamine hydrochloride	Central Nervous System	Analgesic
P1_L18	Fipexide hydrochloride	Central Nervous System	Anti-fatigue
P1_L20	Mifepristone	Endocrinology	Abortifacient
P1_L22	Diperodon hydrochloride	Neuromuscular	Local anesthetic
P1_L24	Sarafloxacin	Infectiology	Antibacterial
P1_N2	Ramipril	Cardiovascular	Antihypertensive
P1_N4	Lisinopril	Cardiovascular	Antihypertensive
P1_N6	Lincomycin hydrochloride	Infectiology	Antibacterial
P1_N8	Telenzepine dihydrochloride	Gastroenterology	Antiulcer
P1_N10	Econazole nitrate	Infectiology	Antifungal
P1_N12	Bupivacaine hydrochloride 	Neuromuscular	Local anesthetic
P1_N14	Clemastine fumarate	Allergology	Antiemetic
P1_N16	Oxytetracycline dihydrate	Infectiology	Antibacterial
P1_N18	Pimozide	Central Nervous System	Antipsychotic
P1_N20	Amodiaquin dihydrochloride dihydrate	Infectiology	Anti-inflammatory
P1_N22	Mebeverine hydrochloride	Neuromuscular	Antispastic
P1_N24	Mephenytoin	Central Nervous System	Anticonvulsant
P1_P2	Azaperone	Central Nervous System	Antipsychotic
P1_P4	Ifenprodil tartrate	Cardiovascular	Vasodilator
P1_P6	Flunarizine dihydrochloride	Central Nervous System	Anticonvulsant
P1_P8	Trifluoperazine dihydrochloride	Central Nervous System	Antiemetic
P1_P10	Enalapril maleate	Cardiovascular	Antihypertensive
P1_P12	Minocycline hydrochloride	Infectiology	Antibacterial
P1_P14	Glibenclamide	Endocrinology	Antidiabetic
P1_P16	Guanethidine sulfate 	Central Nervous System	Antihypertensive
P1_P18	Quinacrine dihydrochloride dihydrate	Infectiology	Antihelmintic
P1_P20	Clofilium tosylate	Cardiovascular	Antiarrhythmic
P1_P22	Fluphenazine dihydrochloride	Central Nervous System	Antipsychotic
P1_P24	Cefepime hydrochloride	Infectiology	Antibacterial
P2_A1	Oxyphenbutazone	Metabolism	Anti-inflammatory
P2_A3	Streptomycin sulfate	Infectiology	Antibacterial
P2_A5	Alfuzosin hydrochloride	Cardiovascular	Vasodilator
P2_A7	Chlorpropamide	Endocrinology	Antidiabetic
P2_A9	Phenylpropanolamine hydrochloride	Respiratory	Antihypotensive
P2_A11	Ascorbic acid	Metabolism	Anti-oxidant
P2_A13	Methyldopa (L,-)	Cardiovascular	Antihypertensive
P2_A15	Cefoperazone dihydrate	Infectiology	Antibacterial
P2_A17	Zoxazolamine	Metabolism	Antigout
P2_A19	Tacrine hydrochloride	Central Nervous System	CNS Stimulant
P2_A21	Bisoprolol fumarate	Cardiovascular	Antianginal
P2_A23	Quinethazone	Cardiovascular	Antihypertensive
P2_C1	Propoxycaine hydrochloride	Central Nervous System	Anesthetic
P2_C3	Tremorine dihydrochloride	Central Nervous System	CNS Stimulant
P2_C5	Practolol	Cardiovascular	Antianginal
P2_C7	Zidovudine, AZT	Infectiology	Antiviral
P2_C9	Sulfisoxazole	Infectiology	Antibacterial
P2_C11	Zaprinast	Cardiovascular	Erectile dysfunction treatment
P2_C13	Chlormezanone	Central Nervous System	Anxiolytic
P2_C15	Procainamide hydrochloride	Cardiovascular	Antiarrhythmic
P2_C17	N6-methyladenosine	Oncology	Antineoplastic
P2_C19	Guanfacine hydrochloride	Cardiovascular	Antihypertensive
P2_C21	Domperidone	Central Nervous System	Antiemetic
P2_C23	Oxaprozin	Central Nervous System	Analgesic
P2_E1	Mesalamine	Metabolism	Anti-inflammatory
P2_E3	Furosemide	Metabolism	Antihypertensive
P2_E5	Methapyrilene hydrochloride	Allergology	Antihistaminic
P2_E7	Desipramine hydrochloride	Central Nervous System	Antidepressant
P2_E9	Clorgyline hydrochloride	Central Nervous System	Antidepressant
P2_E11	Clenbuterol hydrochloride	Neuromuscular	Antiasthmatic
P2_E13	Maprotiline hydrochloride	Central Nervous System	Antidepressant
P2_E15	Thioguanosine	Metabolism	Antineoplastic
P2_E17	Chlorprothixene hydrochloride	Central Nervous System	Antiemetic
P2_E19	Ritodrine hydrochloride	Neuromuscular	Tocolytic
P2_E21	Clozapine	Central Nervous System	Antiparkinsonian
P2_E23	Vorinostat	Oncology	Antineoplastic
P2_G1	Chlorambucil	Oncology	Antineoplastic
P2_G3	Chlorthalidone	Metabolism	Antihypertensive
P2_G5	Dobutamine hydrochloride	Cardiovascular	Analeptic
P2_G7	Moclobemide	Central Nervous System	Antidepressant
P2_G9	Clopamide	Metabolism	Antihypertensive
P2_G11	Hycanthone	Infectiology	Antihelmintic
P2_G13	Adenosine 5-monophosphate monohydrate	Cardiovascular	Antiarrhythmic
P2_G15	Amoxicillin	Metabolism	Antibacterial
P2_G17	Pemirolast potassium	Ophthalmology	Antiallergenic
P2_G19	Dextromethorphan hydrobromide monohydrate	Central Nervous System	Antitussive
P2_G21	Droperidol	Central Nervous System	Antipsychotic
P2_G23	Methiazole	Infectiology	Antihelmintic
P2_I1	(S)-(-)-Cycloserine	Infectiology	Antibacterial
P2_I3	Bambuterol hydrochloride	Neuromuscular	Bronchodilator
P2_I5	Betamethasone	Endocrinology	Anti-inflammatory
P2_I7	Colchicine	Metabolism	Antigout
P2_I9	Metergoline	Central Nervous System	Antiprolactin
P2_I11	Brinzolamide	Metabolism	Antiglaucoma
P2_I13	Ambroxol hydrochloride	Respiratory	Expectorant
P2_I15	Benfluorex hydrochloride	Central Nervous System	Anorectic
P2_I17	Bepridil hydrochloride 	Cardiovascular	Antianginal
P2_I19	Meloxicam	Metabolism	Anti-inflammatory
P2_I21	Benzbromarone	Cardiovascular	Antianginal
P2_I23	Homosalate	Dermatology	Radioprotectant
P2_K1	Nialamide	Central Nervous System	Antidepressant
P2_K3	Ketotifen fumarate	Allergology	Antihistaminic
P2_K5	Debrisoquin sulfate	Cardiovascular	Antihypertensive
P2_K7	Amethopterin (R,S)	Immunology	Anti-inflammatory
P2_K9	Methylergometrine maleate	Neuromuscular	Hemostatic
P2_K11	Methiothepin maleate	Central Nervous System	Antipsychotic
